SL. No.,,,Complaint Description,,,,Category,CategoryType,Priority,,,,,,
1,,,Wall painting,,,,Civil,Store Room Touch up painting,low,,,,,,
2,,,Wall paint,,,,Civil,Bathroom Touch up painting,low,,,,,,
3,,,Floor repair,,,,Civil,Bathroom floor repair,low,,,,,,
4,,,पेंट,,,,Civil,Kitchen Touch up painting,low,,,,,,
5,,,पेंट,,,,Civil,Toilet-2 Touch up painting,low,,,,,,
6,,,पेंट,,,,Civil,Outhouse Toilet Touch up painting,low,,,,,,
7,,,पेंट,,,,Civil,Outhouse Touch up painting,low,,,,,,
8,,,पेंट,,,,Civil,Drawing Room Touch up painting,low,,,,,,
9,,,पेंट,,,,Civil,Bedroom-1 Touch up painting,low,,,,,,
10,,,Water tank cap missing and heavy dirty inside tank ,,,,Water and Plumbing Work,Cleaning of Over Head Tank,high,,,,,,
11,,,"Hall 3,,streetlivbt_notworking",,,,Electrical,Street light-Not working,high,,,,,,
12,,,"41/3,,bathroom,,tubelight_otworking",,,,Electrical,Light-not working,low,,,,,,
13,,,Water leakage from toilet flush continuously...,,,,Water and Plumbing Work,Pipe and fittings  leakage In side the house (Repair),high,,,,,,
14,,,Plug point is not working,,,,Electrical,Earthing-no earthing in plug point,high,,,,,,
15,,,Wall seepage of  bathroom & latrine is taking place from last 1 year.,,,,Civil,Repairs to wall seepage of bathroom & latrine,high,,,,,,
16,,,Wall seepage in corridor & dining area. Water falling inside corridor regularly.,,,,Civil,Repairs to wall seepage other than bathroom & latrine,high,,,,,,
17,,,Garden light fuige 01 nos,,,,Electrical,Garden light-Not working,low,,,,,,
18,,,Street light near our building is not working from a long time.It is very difficult for people who travel through this area because it is very dark at night.,,,,Electrical,Street light-Not working,high,,,,,,
19,,,Window glass not available in balcony room ,,,,Civil,Bedroom-2 window glass pane fixing,high,,,,,,
20,,,"Frame dislocated

",,,,Woodwork,Kitchen window frame repair,high,,,,,,
21,,,A dead dog has been lying near the stairs of our building for the last two days. It is difficult for us to breathe properly due to the foul smell from its dead body.,,,,Housekeeping,Dead Animal Removal,high,,,,,,
22,,,Dining area wash basin drain jam,,,,Housekeeping,Wash Basin Jam,high,,,,,,
23,,,Both the fan of hall running very slow . kindly do the needful ,,,,Electrical,Celing fan-Slow running,low,,,,,,
24,,,Voltage sometimes fluctuate and light starts flickering and dimming,,,,Electrical,Voltage fluctuation-Low voltage,high,,,,,,
25,,,The water is leaking from the tap which is used to turn on /off water in the bathroom tank,,,,Water and Plumbing Work,Pipe and fittings  leakage In side the house (Repair),low,,,,,,
26,,,"Hall,2,,mess tubelight_notorking",,,,Electrical,Light-not working,high,,,,,,
27,,,Toilet wall cement plaster is removed near window,,,,Civil,Toilet-2 brick wall repair,low,,,,,,
28,,,Concrete slab over drainage is missing which is highly unsafe during night / evening ,,,,Civil,Manhole Covers Damaged/missing,high,,,,,,
29,,,Needs to repair ,,,,Civil,Chajja - Repair,low,,,,,,
30,,,Water coming from drain pipe side and accumulated on floor,,,,Civil,Repairs to roof leakage,low,,,,,,
31,,,Water not passing from back side drain line,,,,Housekeeping,Back Drain Jam,low,,,,,,
32,,,Sometimes on/off switch malfunctioning,,,,Electrical,Outhouse/garrage light-Not working,low,,,,,,
33,,,Due to toilet hinge broken door is not closed.please repair it,,,,Woodwork,Toilet-1 door hinge repair,high,,,,,,
34,,,Main switch power off whole house power off ,,,,Electrical,Electric Fire-in Main Switch,low,,,,,,
35,,,Stairs corridor light not working,,,,Electrical,Light-not working,low,,,,,,
36,,,Toilet door open due hinge broken,,,,Woodwork,Toilet-1 door hinge repair,high,,,,,,
37,,,Sccket not working in kitchen room ,,,,Electrical,Socket-Not working,low,,,,,,
38,,,Bathroom door,,,,Civil,Bathroom door easing,low,,,,,,
39,,,Water leakage from commode cistern,,,,Water and Plumbing Work,Improper function of Cistern (Repair/Replace),high,,,,,,
40,,,Request for termite control treatment,,,,Housekeeping,Antitermite Treatment,low,,,,,,
